Video filename,Talker,Modaliy,Style,Story,Sentence,New filename,A start,V start,A end,V end,Comments,Problematic,Error Type,Accent,Syllable Number,,,Interference at the end,Interference at the beginning,,,Start,End
,,,,,,,,,,,,,,,,,,,,,,,
sp01_av_ids_sty_A,sp01,av,ids,1,1,,94.26,94.14,98.84,98.9,A cable is showing during the whole story.,,,American English,15,,,No,#REF!,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,1,2,,100.38,100.34,103.94,104,A cable is showing during the whole story.,,,American English,12,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,1,3,,104.88,104.6,107.54,107.8,A cable is showing during the whole story.,,,American English,7,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,1,4,,108.96,108.56,112.38,112.5,A cable is showing during the whole story.,,,American English,11,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,1,5,,113.72,113.56,117.46,117.6,A cable is showing during the whole story.,,,American English,8,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,1,6,,120.56,119.92,124.8,124.84,A cable is showing during the whole story.,,,American English,11,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,1,7,,126.92,126.86,129.76,130.04,A cable is showing during the whole story.,,,American English,5,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,1,8,,131.5,131.22,133.92,134.06,A cable is showing during the whole story.,,,American English,14,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,1,9,,136.1,135.86,139.7,139.84,A cable is showing during the whole story.,,,American English,5,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,1,10,,141.14,140.96,143.8,144.1,A cable is showing during the whole story.,,,American English,9,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,1,11,,146.1,145.88,149.02,149.1,A cable is showing during the whole story.,,,American English,11,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,1,12,,150.66,150.34,154.4,154.58,A cable is showing during the whole story.,,,American English,6,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,1,13,,155.76,155.34,159.18,159.34,A cable is showing during the whole story.,,,American English,9,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,14,,228.44,228.32,231.22,231.3,,,,American English,10,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,15,,231.98,231.88,235.76,235.82,,,,American English,12,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,16,,237,236.92,239.96,240.22,,,,American English,11,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,17,,241.44,241.26,244.92,245.1,,,,American English,13,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,18,,246.22,246.18,250.72,250.84,Elicitation mistake,Yes,Elicitation,American English,14,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,19,,252.88,252.62,256.58,256.76,,,,American English,12,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,20,,258.54,258.36,263.16,263.2,,,,American English,16,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,21,,264.2,264.1,267.56,267.92,,,,American English,13,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,22,,269.32,269.14,273.86,273.88,,,,American English,10,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,23,,274.98,274.4,280.5,280.6,,,,American English,12,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,24,,281.84,281.7,285.2,285.24,,,,American English,10,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,25,,286.54,286.3,290.1,290.18,,,,American English,10,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,26,,291.78,291.4,294.7,294.8,,,,American English,9,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,27,,296.54,296.28,299.66,299.7,,,,American English,9,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,28,,300.8,300.72,303.42,303.5,,,,American English,9,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,29,,306.28,306.12,308.94,309.1,,,,American English,7,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,30,,310.28,310.14,313.94,313.98,"The speaker added ""oh no!"" at the end of the sentence.",Yes,Additional words,American English,12,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,31,,315.64,315.54,319.42,319.48,,,,American English,9,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,32,,320.14,320.04,322.78,322.88,,,,American English,9,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,33,,323.76,323.7,327.5,327.58,,,,American English,14,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,2,34,,328.42,328.18,331.84,331.96,,,,American English,11,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,35,,359.94,359.74,361.86,362,,,,American English,8,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,36,,363.16,363.06,365.68,365.7,,,,American English,9,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,37,,367.24,367.1,370.06,370.1,,,,American English,10,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,38,,371.42,371.32,374.32,374.36,,,,American English,10,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,39,,375.54,375.44,378.48,378.5,,,,American English,10,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,40,,379.62,379.52,383.16,383.32,,,,American English,13,,,No,No,,,--,--
